OTU,Average abundance South (Standardised and transformed),Average abundance North (Standardised and transformed),Contribution to variance (%)
Synechococcus sp. CC9311-08,0,1.08,2.88
Synechococcus sp. CC9902-08,0,1.04,2.81
Synechococcus sp. CC9311-30,0.01,0.98,2.59
Synechococcus sp. CC9902-30,0.04,0.76,2.03
Pelagibacter ubique HTCC1062-30,1.97,2.4,1.97
Ruthia magnifica str. Cm (Calyptogena magnifica)-01,0.82,0.25,1.57
Colwellia sp. 34H-30,0.34,0.66,1.32
Ruthia magnifica str. Cm (Calyptogena magnifica)-08,0.74,0.25,1.32
Pelagibacter ubique HTCC1062-08,2.32,2.48,1.32
Candidatus Vesicomyosocius okutanii strain HA-01,0.62,0.18,1.2
Coraliomargarita akajimensis strain DSM 45221-08,0.48,0.04,1.13
Coraliomargarita akajimensis strain DSM 45221-30,0.49,0.06,1.1
Roseobacter sp. OCh114-08,1.01,0.81,1.08
Pseudoalteromonas atlantica strain T6c-30,0.38,0.54,1.08
Candidatus Vesicomyosocius okutanii strain HA-08,0.57,0.19,1.04
Acinetobacter baumannii strain SDF-30,0.45,0.18,0.95
Gramella forsetii strain KT0803-08,0.72,0.43,0.94
Marinomonas sp. MWYL1-08,0.46,0.11,0.92
Roseobacter sp. OCh114-30,0.76,0.54,0.91
Flavobacterium psychrophilum strain JIP02/86-08,0.63,0.32,0.89
Silicibacter pomeroyi DSS-3-08,0.75,0.69,0.86
Brachyspira hyodysenteriae strain WA1-30,0.47,0.19,0.84
Ruthia magnifica str. Cm (Calyptogena magnifica)-30,0.34,0.21,0.82
Pseudoalteromonas haloplanktis strain TAC125-30,0.22,0.33,0.77
Robiginitalea biformata strain HTCC2501-08,0.61,0.4,0.74
Seattle Aquarium strain SCM1-01,0.27,0.01,0.72
Gramella forsetii strain KT0803-30,0.59,0.59,0.71
Lysinibacillus sphaericus strain C3-41-30,0.29,0.02,0.71
Seattle Aquarium strain SCM1-08,0.25,0.01,0.7
Silicibacter sp. TM1040-08,0.59,0.55,0.69
Zunongwangia profunda strain SM-A87-08,0.49,0.29,0.68
Haemophilus influenzae strain PittGG-30,0.22,0.16,0.67
Silicibacter pomeroyi DSS-3-30,0.51,0.42,0.67
Jannaschia sp. DFL-12-08,0.56,0.48,0.64
Cellvibrio japonicus strain Ueda107-08,0.37,0.14,0.63
bacterium 2-40-08,0.4,0.18,0.62
Flavobacterium psychrophilum strain JIP02/86-30,0.53,0.44,0.61
Bartonella henselae strain Houston-1-30,0.28,0.05,0.6
alpha proteobacterium IMCC1322-30,0.27,0.47,0.6
Silicibacter sp. TM1040-30,0.43,0.33,0.6
Sulcia muelleri SMDSEM-30,0.24,0.12,0.59
Teredinibacter turnerae strain T7901-08,0.35,0.13,0.58
Seattle Aquarium strain SCM1-30,0.2,0,0.58
Zunongwangia profunda strain SM-A87-30,0.42,0.39,0.57
alpha proteobacterium IMCC1322-08,0.49,0.69,0.56
Flavobacterium johnsoniae strain UW101-08,0.35,0.18,0.53
Candidatus Sulcia muelleri strain DMIN-30,0.2,0,0.53
Robiginitalea biformata strain HTCC2501-30,0.48,0.47,0.52
Jannaschina sp. CCS1-08,0.44,0.35,0.52
Tropheryma whipplei str. TW08/27-30,0.2,0.02,0.51
Jannaschia sp. DFL-12-30,0.29,0.29,0.5
Jannaschina sp. CCS1-30,0.3,0.2,0.49
Marinomonas sp. MWYL1-30,0.27,0.13,0.47
Marinobacter hydrocarbonoclasticus VT8-08,0.29,0.13,0.46
Capnocytophaga ochracea strain DSM 7271-08,0.34,0.2,0.44
alpha proteobacterium IMCC1322-01,0.15,0.27,0.38
Pseudoalteromonas atlantica strain T6c-08,0.17,0.19,0.37
Synechococcus sp. PCC7002-30,0.17,0.03,0.37
