OTU	North_of_PF 01	North_of_PF 08	North_of_PF 30	South_of_PF 01	South_of_PF 08	South_of_PF 30
Pelagibacter ubique HTCC1062	61.76	25	23.87	58.85	22.4	17.61
Seattle Aquarium strain SCM1	0.01996	0.01438	0.009508	1.076	1.309	1.21
Ruthia magnifica str. Cm (Calyptogena magnifica)	0.6699	0.6458	0.5484	2.987	2.616	1.025
Roseobacter sp. OCh114	0.3125	2.932	1.588	0.4477	3.994	2.657
Synechococcus sp. CC9902	0.1081	9.837	4.973	0.0007484	0.004156	0.09733
Silicibacter pomeroyi DSS-3	0.2578	2.286	1.154	0.307	2.505	1.576
Gramella forsetii strain KT0803	0.2412	1.21	1.755	0.4993	2.347	1.89
Candidatus Vesicomyosocius okutanii strain HA	0.4634	0.4642	0.2078	1.97	1.807	0.2174
Robiginitalea biformata strain HTCC2501	0.2751	1.099	1.297	0.4722	1.878	1.405
Flavobacterium psychrophilum strain JIP02/86	0.1718	0.8409	1.224	0.4316	1.96	1.598
Synechococcus sp. CC9311	0.03014	4.624	4.409	0.0007221	0.002778	0.02764
alpha proteobacterium IMCC1322	0.6444	2.077	1.267	0.3586	1.377	0.7109
Silicibacter sp. TM1040	0.2274	1.652	0.8738	0.2709	1.803	1.233
Jannaschia sp. DFL-12	0.1776	1.378	0.735	0.2443	1.692	0.8009
Zunongwangia profunda strain SM-A87	0.1522	0.7487	1.059	0.2968	1.41	1.204
Colwellia sp. 34H	0.02345	0.3636	2.736	0.05207	0.514	1.041
Coraliomargarita akajimensis strain DSM 45221	0.03698	0.07573	0.1197	0.1154	1.543	1.68
Jannaschina sp. CCS1	0.1173	0.9344	0.4784	0.1711	1.23	0.8239
Pseudoalteromonas atlantica strain T6c	0.01251	0.4772	1.993	0.0227	0.4089	1.132
bacterium 2-40	0.06532	0.4325	0.5429	0.1289	1.072	0.8663
Flavobacterium johnsoniae strain UW101	0.08822	0.422	0.6141	0.2034	0.9389	0.8578
Capnocytophaga ochracea strain DSM 7271	0.1143	0.483	0.5399	0.2314	0.8815	0.6814
Marinomonas sp. MWYL1	0.03777	0.2529	0.3026	0.1514	1.3	0.7006
Cellvibrio japonicus strain Ueda107	0.05884	0.308	0.3231	0.1155	0.9917	0.4713
Marinobacter hydrocarbonoclasticus VT8	0.04093	0.2889	0.3883	0.08418	0.7195	0.3848
Pseudoalteromonas haloplanktis strain TAC125	0.01389	0.2505	0.8896	0.03427	0.3561	0.653
Teredinibacter turnerae strain T7901	0.05665	0.3051	0.3081	0.1138	0.9174	0.5127
Acinetobacter baumannii strain SDF	0.004886	0.007187	0.4073	0.00626	0.04218	1.459
Alcanivorax borkumensis strain SK2	0.04894	0.2353	0.3064	0.07604	0.5648	0.4049
Brachyspira hyodysenteriae strain WA1	0.0004322	0.00829	0.4162	0.0003023	0.02292	1.474
Chromohalobacter salexigens strain DSM 3043	0.02936	0.1565	0.1845	0.06559	0.4849	0.2917
Rhodobacter capsulatus strain SB1003	0.0402	0.3205	0.1811	0.05421	0.4122	0.2804
Sulcia muelleri SMDSEM	0.006379	0.01066	0.2676	0.03439	0.03164	0.6599
Haemophilus influenzae strain PittGG	0.002754	0.02942	0.3549	0.004833	0.006157	0.744
Kangiella koreensis strain DSM 16069	0.03351	0.1263	0.2482	0.06133	0.3467	0.2451
Hahella chejuensis strain KCTC 2396	0.02426	0.1503	0.1847	0.05226	0.3879	0.2559
Bartonella henselae strain Houston-1	0.002003	0.008874	0.09465	0.001673	0.006736	0.7488
Lysinibacillus sphaericus strain C3-41	0	0.003264	0.03549	0.0002992	0.005511	0.8279
Rhodobacter sphaeroides strain ATCC 17025	0.03338	0.2926	0.1629	0.04137	0.2628	0.1601
Flavobacteriaceae bacterium 3519-10	0.02704	0.1667	0.1661	0.05659	0.2469	0.1584
Candidatus Sulcia muelleri strain DMIN	0.007918	0.03551	0.0007431	0.007619	0.07319	0.5934
Pseudomonas stutzeri strain A1501	0.01624	0.08575	0.1234	0.0435	0.2892	0.1842
Thioalkalivibrio sp. HL-EbGR7	0.02397	0.06861	0.06937	0.05808	0.2003	0.2086
Idiomarina loihiensis strain L2TR	0.01532	0.1122	0.2861	0.03189	0.2242	0.1477
gas vacuolate str. 37	0.0128	0.0646	0.2368	0.03348	0.2055	0.183
Paracoccus denitrificans PD1222	0.03123	0.2161	0.1212	0.0338	0.2357	0.1325
Rhodobacter sphaeroides strain ATCC 17029	0.02626	0.2162	0.1166	0.02256	0.2232	0.1547
Rhodobacter sphaeroides strain 2.4.1	0.0184	0.2033	0.109	0.03247	0.2119	0.1409
Tropheryma whipplei str. TW08/27	0	0	0.04596	0.0004158	0	0.5556
Rhodobacter sphaeroides strain KD131	0.021	0.1892	0.09723	0.01955	0.2008	0.1192
Shewanella frigidimarina strain NCIMB 400	0.003555	0.07547	0.2847	0.007708	0.09292	0.2089
Thiomicrospira crunogena strain XCL-2	0.0167	0.04633	0.08542	0.05698	0.1698	0.1459
Thermosynechococcus elongatus strain BP-1	0.004962	0.07407	0.1004	0.006075	0.02961	0.3856
