Ortholog group,Average abundance South (standardised and log transformed),Average abundance North (standardised and log transformed),Contribution to variance (%)
hypothetical protein-30,0.11,0.24,0.26
hypothetical protein-08,0.68,0.57,0.24
ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]-08,0.17,0.24,0.15
DNA polymerase III subunit alpha [EC:2.7.7.7]-08,0.25,0.19,0.14
hypothetical protein-01,0.26,0.24,0.12
proline dehydrogenase / delta 1-pyrroline-5-carboxylate-08,0.1,0.04,0.12
aminomethyltransferase [EC:2.1.2.10]-08,0.25,0.19,0.12
ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]-30,0.02,0.08,0.12
sarcosine oxidase; subunit alpha [EC:1.5.3.1]-08,0.22,0.17,0.12
integrator complex subunit 6-30,0.07,0.05,0.11
multicomponent Na+:H+ antiporter subunit D-08,0.11,0.05,0.11
glutamine synthetase [EC:6.3.1.2]-08,0.24,0.19,0.11
pyruvate dehydrogenase E1 component [EC:1.2.4.1]-08,0.15,0.1,0.11
cobaltochelatase CobN [EC:6.6.1.2]-08,0.11,0.06,0.11
formate dehydrogenase; alpha subunit [EC:1.2.1.2]-08,0.15,0.1,0.11
DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]-30,0.03,0.08,0.11
glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]-08,0.25,0.22,0.11
dimethylglycine dehydrogenase [EC:1.5.99.2]-08,0.17,0.14,0.11
flagellin-08,0.06,0.1,0.1
DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]-30,0.03,0.08,0.1
photosystem II PsbA protein-08,0.01,0.06,0.09
aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]-08,0.17,0.13,0.09
glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]-30,0.02,0.07,0.09
thymidylate synthase (FAD) [EC:2.1.1.148]-08,0.02,0.06,0.09
topoisomerase IV subunit A [EC:5.99.1.-]-08,0.11,0.07,0.09
DNA mismatch repair protein MutS-08,0.13,0.08,0.09
glutamate dehydrogenase [EC:1.4.1.2]-08,0.07,0.03,0.09
DNA polymerase I [EC:2.7.7.7]-01,0.12,0.11,0.09
GTP-binding protein-08,0.26,0.21,0.09
GTP-binding protein-30,0.03,0.07,0.09
glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]-08,0.13,0.09,0.08
ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]-01,0.1,0.1,0.08
ATP-dependent helicase HrpA [EC:3.6.1.-]-08,0.06,0.02,0.08
methylmalonyl-CoA mutase [EC:5.4.99.2]-08,0.12,0.08,0.08
peptide/nickel transport system permease protein-08,0.17,0.14,0.08
penicillin-binding protein 1A [EC:2.4.1.- 3.4.-.-]-08,0.11,0.08,0.08
