Sample,Local Date,Local Time,Latitude,Longitude,Water Column Depth (m),Sample Depth (m),Water Temperature (°C),Salinity (PSU),Fluorescence (µg/l),Volume seawater filtered (L)
346,20/12/07,16:32,-59.312,142.5949,4294,2,2.9,33.75,0.25,500
347,23/12/07,11:42,-66.0213,142.738,450,2,0.6,34.2,4,250
349,27/12/07,17:51,-66.5662,142.3169,370,1.5,-1.3,34.4,2.3,250
351,28/12/07,13:31,-66.5587,143.4303,823,1.5,-0.55,34.3,1.3,500
352,29/12/07,11:16,-66.765,143.324,164,2.5,-0.75,34.3,3.1,500
353,30/12/07,12:05,-67.0521,144.6786,180,2,-1.8,34.4,0.3,500
356,03/01/08,05:55,-66.7617,144.4138,920,920,-1.89,34.69,0.1,230
357,05/01/08,00:48,-66.1719,143.0193,580,2,-0.4,34.15,2.5,500
358,09/01/08,17:10,-64.3001,150.0306,3550,2,0,33.55,0.45,500
359,12/01/08,01:11,-66.1903,143.5292,540,2,-0.24,34.21,2.5,500
360,13/01/08,22:39,-66.5817,141.0211,316,2,-0.65,34.04,6.19,500
361,14/01/08,08:11,-66.4727,140.5572,1203,1170,-1.77,34.56,0.1,225
362,19/01/08,19:32,-65.5367,140.8287,1064,2,0.7,32.2,0.5,500
363,22/01/08,14:05,-60.0001,141.3094,4473,2,3.3,33.77,0.1,500
364,23/01/08,08:45,-56.6953,141.878,3693,2,4,33.7,0.5,500
365,23/01/08,10:02,-56.6967,141.9125,3693,3693,0.48,34.69,0.1,230
366,24/01/08,14:54,-52.0233,144.1362,3180,2,7.6,33.84,0.25,500
367,25/01/08,10:35,-48.2487,145.9025,3490,2,11,34.43,0.2,500
368,26/01/08,09:37,-44.718,145.7775,3201,2,14.75,34.96,1.25,560
